number,stadtteil,sum,einphh,zweiphh,dreiphh,vierphh,funfphh,prohh
101,Altstadt-Süd,18292,12837,3677,1011,552,215,1.45
102,Neustadt-Süd,25105,17078,5115,1661,918,333,1.5
103,Altstadt-Nord,12262,8840,2376,636,315,95,1.41
104,Neustadt-Nord,18574,12321,3924,1383,731,215,1.53
105,Deutz,8883,5284,2285,741,431,142,1.64
201,Bayenthal,4911,2612,1311,533,326,129,1.8
202,Marienburg,2932,1386,858,325,234,129,1.95
203,Raderberg,3146,1747,800,329,175,95,1.76
204,Raderthal,2472,1129,770,313,199,61,1.92
205,Zollstock,12382,6926,3357,1131,721,247,1.71
206,Rondorf,4354,1491,1437,722,542,162,2.19
207,Hahnwald,900,276,295,139,137,53,2.34
208,Rodenkirchen,7976,3930,2420,880,561,185,1.83
209,Weiß,2811,1099,895,409,303,105,2.09
210,Sürth,4928,1994,1382,697,662,193,2.13
211,Godorf,1156,469,382,157,91,57,2.07
212,Immendorf,918,340,294,150,99,35,2.14
213,Meschenich,3251,1194,932,451,329,345,2.39
301,Klettenberg,5701,2978,1545,617,443,118,1.81
302,Sülz,22219,13748,5264,1790,1091,326,1.61
303,Lindenthal,17105,10418,4010,1476,901,300,1.64
304,Braunsfeld,6362,3770,1592,546,348,106,1.65
305,Müngersdorf,3775,1620,1222,487,305,141,1.99
306,Junkersdorf,6741,3208,1810,783,715,225,1.96
307,Weiden,8869,4324,2716,987,623,219,1.85
308,Lövenich,4193,1597,1398,636,453,109,2.07
309,Widdersdorf,3839,1099,1131,715,699,195,2.43
401,Ehrenfeld,22719,14594,4937,1747,992,449,1.59
402,Neuehrenfeld,13354,7450,3373,1334,867,330,1.75
403,Bickendorf,8259,3719,2395,1020,753,372,2.01
404,Vogelsang,3949,1599,1223,575,398,154,2.07
405,Bocklemünd/Mengenich,4689,1833,1459,642,482,273,2.15
406,Ossendorf,4398,1664,1175,723,575,261,2.24
501,Nippes,19916,11385,4807,1939,1328,457,1.73
502,Mauenheim,3044,1568,844,322,226,84,1.83
503,Riehl,5434,2706,1632,597,371,128,1.83
504,Niehl,9825,4633,2797,1201,811,383,1.95
505,Weidenpesch,7470,3891,2067,794,475,243,1.82
506,Longerich,6693,2836,2126,946,591,194,1.99
507,Bilderstöckchen,7129,2988,1960,996,753,432,2.14
601,Merkenich,2647,958,887,407,291,104,2.14
602,Fühlingen,938,317,294,172,111,44,2.24
603,Seeberg,4703,1366,1550,833,602,352,2.39
604,Heimersdorf,2754,1050,976,383,254,91,2.05
605,Lindweiler,1562,509,541,258,160,94,2.25
606,Pesch,3699,1292,1471,504,328,104,2.06
607,Esch/Auweiler,2958,929,1025,494,385,125,2.25
608,Volkhoven/Weiler,2381,633,723,423,392,210,2.55
609,Chorweiler,4993,1330,1523,965,685,490,2.54
610,Blumenberg,2072,459,550,443,413,207,2.73
611,Roggendorf/Thenhoven,1754,592,571,270,211,110,2.27
612,Worringen,4481,1696,1497,685,425,178,2.09
701,Poll,5604,2529,1678,727,494,176,1.96
702,Westhoven,2509,1164,790,284,198,73,1.91
703,Ensen,3294,1354,1055,492,268,125,2.03
704,Gremberghoven,1276,511,386,152,142,85,2.16
705,Eil,4364,1693,1472,655,376,168,2.06
706,Porz,6729,2822,2007,943,661,296,2.07
707,Urbach,5953,2461,1911,809,556,216,2.03
708,Elsdorf,734,303,205,108,89,29,2.11
709,Grengel,2629,1111,810,383,222,103,2.02
710,Wahnheide,4104,1973,1259,461,305,106,1.87
711,Wahn,2866,950,977,454,353,132,2.23
712,Lind,1748,747,611,226,126,38,1.92
713,Libur,459,129,147,89,76,18,2.36
714,Zündorf,5634,2021,2010,853,555,195,2.11
715,Langel,1494,509,532,243,161,49,2.14
716,Finkenberg,2529,664,813,460,296,296,2.58
801,Humboldt/Gremberg,7916,4095,2020,910,569,322,1.88
802,Kalk,12119,6677,2922,1190,842,488,1.82
803,Vingst,5458,1952,1562,899,654,391,2.29
804,Höhenberg,6484,3370,1706,697,465,246,1.86
805,Ostheim,5027,1804,1446,811,559,407,2.31
806,Merheim,4642,1642,1402,746,599,253,2.25
807,Brück,4787,1982,1521,662,460,162,2.03
808,Rath/Heumar,5626,2288,1894,755,506,183,2.01
809,Neubrück,3666,1216,1200,539,451,260,2.3
901,Mülheim,22448,12264,5453,2341,1533,857,1.82
902,Buchforst,3852,1949,1051,428,283,141,1.88
903,Buchheim,6249,2850,1751,774,580,294,2.01
904,Holweide,10531,4718,3129,1365,909,410,1.98
905,Dellbrück,10960,5035,3292,1378,934,321,1.93
906,Höhenhaus,6914,2560,2203,1030,798,323,2.16
907,Dünnwald,5340,2020,1681,840,547,252,2.14
908,Stammheim,3636,1430,1241,526,296,143,2.05
909,Flittard,3762,1491,1223,549,352,147,2.07
