number,stadtteil,stadtflaecheqkm,einwohnerqkm,einwohner
101,Altstadt-Süd,2.36,11654,27515
102,Neustadt-Süd,2.82,13606,38416
103,Altstadt-Nord,2.46,7298,17922
104,Neustadt-Nord,3.49,8184,28555
105,Deutz,5.24,2943,15419
201,Bayenthal,1.28,6886,8836
202,Marienburg,3.05,1874,5711
203,Raderberg,0.84,6786,5679
204,Raderthal,3.21,1492,4784
205,Zollstock,5.03,4349,21888
206,Rondorf,8.15,1175,9579
207,Hahnwald,2.99,705,2110
208,Rodenkirchen,7.86,2027,15933
209,Weiß,4.16,1413,5875
210,Sürth,3.42,3101,10606
211,Godorf,4.59,520,2388
212,Immendorf,5.2,379,1971
213,Meschenich,4.72,1648,7780
301,Klettenberg,1.8,5877,10562
302,Sülz,5.17,6954,35967
303,Lindenthal,7.73,3877,29963
304,Braunsfeld,1.68,6414,10749
305,Müngersdorf,5.1,1590,8105
306,Junkersdorf,7.38,1799,13270
307,Weiden,3.65,4510,16484
308,Lövenich,3.69,2352,8684
309,Widdersdorf,5.6,1673,9365
401,Ehrenfeld,3.72,9821,36518
402,Neuehrenfeld,2.55,9286,23679
403,Bickendorf,2.31,7267,16769
404,Vogelsang,3.66,2252,8247
405,Bocklemünd/Mengenich,4.93,2099,10350
406,Ossendorf,6.81,1459,9930
501,Nippes,3,11664,34936
502,Mauenheim,0.49,11567,5651
503,Riehl,2.39,4686,11198
504,Niehl,12.06,1615,19481
505,Weidenpesch,3.91,3525,13775
506,Longerich,6.14,2194,13474
507,Bilderstöckchen,3.76,4100,15430
601,Merkenich,12.2,470,5734
602,Fühlingen,4.86,432,2102
603,Seeberg,1.78,6316,11245
604,Heimersdorf,1.75,3316,5788
605,Lindweiler,1.16,3043,3519
606,Pesch,2.83,2685,7605
607,Esch/Auweiler,7.61,876,6667
608,Volkhoven/Weiler,4.35,1398,6084
609,Chorweiler,1.92,6781,13010
610,Blumenberg,3.22,1786,5755
611,Roggendorf/Thenhoven,13.76,290,3989
612,Worringen,11.72,802,9397
701,Poll,5.17,2200,11367
702,Westhoven,4.21,1166,4913
703,Ensen,1.62,4342,7030
704,Gremberghoven,6,477,2862
705,Eil,16.25,555,9020
706,Porz,3.12,4622,14408
707,Urbach,2.29,5276,12092
708,Elsdorf,1.77,915,1616
709,Grengel,10.66,499,5314
710,Wahnheide,2.88,2674,7692
711,Wahn,2.26,2866,6483
712,Lind,2.24,1509,3384
713,Libur,6.38,170,1084
714,Zündorf,8.12,1471,11945
715,Langel,5.33,603,3211
716,Finkenberg,0.64,10381,6618
801,Humboldt/Gremberg,2.82,5374,15159
802,Kalk,2.97,7544,22383
803,Vingst,1.12,11445,12866
804,Höhenberg,2.19,5570,12224
805,Ostheim,3.74,3097,11596
806,Merheim,3.8,2787,10601
807,Brück,7.5,1325,9940
808,Rath/Heumar,12.91,877,11329
809,Neubrück,1.1,8005,8787
901,Mülheim,7.07,5917,41814
902,Buchforst,0.83,8828,7333
903,Buchheim,2.85,4419,12616
904,Holweide,4.11,5102,20974
905,Dellbrück,9.95,2160,21487
906,Höhenhaus,5.07,2966,15048
907,Dünnwald,10.84,1068,11576
908,Stammheim,3.74,1988,7440
909,Flittard,7.74,1020,7894
